LOCAL,DATA,VALOR
131,20240101 00:00:00,830
131,20240201 00:00:00,460
131,20240301 00:00:00,0
131,20240401 00:00:00,734
130,20240501 00:00:00,466
130,20240601 00:00:00,302
130,20240701 00:00:00,342
130,20240801 00:00:00,289
130,20240901 00:00:00,232
130,20241001 00:00:00,491
130,20241101 00:00:00,529
130,20241201 00:00:00,577
130,20230301 00:00:00,280
130,20230501 00:00:00,479
130,20230601 00:00:00,100
130,20230701 00:00:00,249
130,20230801 00:00:00,632
130,20230901 00:00:00,219.78
130,20231001 00:00:00,146
130,20231101 00:00:00,326
130,20231201 00:00:00,312
129,20240101 00:00:00,1412
129,20240201 00:00:00,332
129,20240301 00:00:00,430
129,20240401 00:00:00,168
129,20240501 00:00:00,252
129,20240601 00:00:00,532
129,20240801 00:00:00,259
129,20240901 00:00:00,406
129,20241001 00:00:00,346
129,20241101 00:00:00,185
129,20241201 00:00:00,517
129,20250101 00:00:00,425
129,20230801 00:00:00,301
129,20230901 00:00:00,439.56
129,20231001 00:00:00,295
129,20231101 00:00:00,327
129,20231201 00:00:00,155
129,20240101 00:00:00,1134
128,20240201 00:00:00,332
128,20240301 00:00:00,572
128,20240401 00:00:00,505
128,20240501 00:00:00,251
128,20240601 00:00:00,532
128,20240801 00:00:00,552
128,20240901 00:00:00,406
128,20241001 00:00:00,346
128,20241101 00:00:00,371
128,20241201 00:00:00,690
128,20250101 00:00:00,793
128,20230301 00:00:00,120
128,20230501 00:00:00,480
128,20230601 00:00:00,90
128,20230701 00:00:00,249
128,20230801 00:00:00,346
128,20230901 00:00:00,329.68
128,20231001 00:00:00,300
127,20231101 00:00:00,488
127,20231201 00:00:00,156
127,20240101 00:00:00,1076
127,20240201 00:00:00,498
127,20240301 00:00:00,286
127,20240401 00:00:00,506
127,20240501 00:00:00,502
127,20240601 00:00:00,532
127,20240801 00:00:00,129
127,20240901 00:00:00,407
127,20241001 00:00:00,346
127,20241101 00:00:00,370
127,20241201 00:00:00,345
127,20250101 00:00:00,425
127,20230801 00:00:00,202
127,20230901 00:00:00,439.56
127,20231001 00:00:00,438
127,20231101 00:00:00,327
127,20231201 00:00:00,311
127,20240101 00:00:00,255
127,20240201 00:00:00,166
126,20240301 00:00:00,286
126,20240401 00:00:00,506
126,20240501 00:00:00,502
126,20240601 00:00:00,532
126,20240801 00:00:00,828
126,20240901 00:00:00,406
126,20241001 00:00:00,518
126,20241101 00:00:00,371
126,20241201 00:00:00,517
126,20250101 00:00:00,1189
126,20230501 00:00:00,479
126,20230601 00:00:00,170
126,20230701 00:00:00,124
126,20230801 00:00:00,677
126,20230901 00:00:00,219.78
126,20231001 00:00:00,438
126,20231101 00:00:00,326
126,20231201 00:00:00,312
126,20240101 00:00:00,510
126,20240201 00:00:00,165
125,20240301 00:00:00,286
125,20240401 00:00:00,505
125,20240501 00:00:00,502
125,20240601 00:00:00,532
125,20240801 00:00:00,387
125,20240901 00:00:00,406
125,20241001 00:00:00,346
125,20241101 00:00:00,371
125,20241201 00:00:00,345
125,20250101 00:00:00,637
125,20230901 00:00:00,708.99
125,20231001 00:00:00,770
125,20231101 00:00:00,659
